name,start_time,duration,"data"
"Async Serial",1.03481272,0.00030436,"5"
"Async Serial",1.03513306,0.00030436,"1"
"Async Serial",1.0354534,0.00030436,"c"
"Async Serial",1.03577376,0.00030436,"a"
"Async Serial",1.0360941,0.00030436,"b"
"Async Serial",1.03641444,0.00030436,"2"
"Async Serial",1.03673478,0.00030436,"d"
"Async Serial",1.03705514,0.00030436,"1"
"Async Serial",1.03737548,0.00030436,"a"
"Async Serial",1.03769582,0.00030436,"f"
"Async Serial",1.03801616,0.00030436,"b"
"Async Serial",1.0383365,0.00030436,"6"
"Async Serial",1.03865686,0.00030436,"d"
"Async Serial",1.0389772,0.00030436,"f"
"Async Serial",1.03929754,0.00030436,"5"
"Async Serial",1.03961788,0.00030436,"4"
"Async Serial",1.03993824,0.00030436,"5"
"Async Serial",1.04025858,0.00030436,"7"
"Async Serial",1.04057892,0.00030436,"8"
"Async Serial",1.04089926,0.00030436,"0"
"Async Serial",1.0412196,0.00030436,"6"
"Async Serial",1.04153996,0.00030436,"5"
"Async Serial",1.0418603,0.00030436,"f"
"Async Serial",1.04218064,0.00030436,"1"
"Async Serial",1.04250098,0.00030436,"d"
"Async Serial",1.04282134,0.00030436,"8"
"Async Serial",1.04314168,0.00030436,"b"
"Async Serial",1.04346202,0.00030436,"b"
"Async Serial",1.04378236,0.00030436,"a"
"Async Serial",1.04410272,0.00030436,"8"
"Async Serial",1.04442306,0.00030436,"9"
"Async Serial",1.0447434,0.00030436,"8"
"Async Serial",1.04506374,0.00030436,"0"
"Async Serial",1.04538408,0.00030436,"1"
"Async Serial",1.04570444,0.00030436,"d"
"Async Serial",1.04602478,0.00030436,"3"
"Async Serial",1.04634512,0.00030436,"e"
"Async Serial",1.04666546,0.00030436,"f"
"Async Serial",1.04698582,0.00030436,"2"
"Async Serial",1.04730616,0.00030436,"\n"
"Async Serial",1.0476265,0.00030436,"\n"
"Async Serial",1.04794684,0.00030436,"["
"Async Serial",1.04826718,0.00030436,"M"
"Async Serial",1.04858754,0.00030436,"S"
"Async Serial",1.04890788,0.00030436,"G"
"Async Serial",1.04922822,0.00030436,"]"
"Async Serial",1.04954856,0.00030436," "
"Async Serial",1.04986892,0.00030436,"A"
"Async Serial",1.05018926,0.00030436,"c"
"Async Serial",1.0505096,0.00030436,"t"
"Async Serial",1.05082994,0.00030436,"i"
"Async Serial",1.05115028,0.00030436,"v"
"Async Serial",1.05147064,0.00030436,"i"
"Async Serial",1.05179098,0.00030436,"t"
"Async Serial",1.05211132,0.00030436,"y"
"Async Serial",1.05243166,0.00030436," "
"Async Serial",1.05275202,0.00030436,"f"
"Async Serial",1.05307236,0.00030436,"r"
"Async Serial",1.0533927,0.00030436,"o"
"Async Serial",1.05371304,0.00030436,"m"
"Async Serial",1.0540334,0.00030436,":"
"Async Serial",1.05435374,0.00030436," "
"Async Serial",1.05467408,0.00030436,"6"
"Async Serial",1.05499442,0.00030436,"5"
"Async Serial",1.05531476,0.00030436,"e"
"Async Serial",1.05563512,0.00030436,"c"
"Async Serial",1.05595546,0.00030436,"3"
"Async Serial",1.0562758,0.00030436,"1"
"Async Serial",1.05659614,0.00030436,"2"
"Async Serial",1.0569165,0.00030436,"3"
"Async Serial",1.05723684,0.00030436,"2"
"Async Serial",1.05755718,0.00030436,"5"
"Async Serial",1.05787752,0.00030436,"f"
"Async Serial",1.05819788,0.00030436,"4"
"Async Serial",1.05851822,0.00030436,"3"
"Async Serial",1.05883856,0.00030436,"f"
"Async Serial",1.0591589,0.00030436,"4"
"Async Serial",1.05947924,0.00030436,"0"
"Async Serial",1.0597996,0.00030436,"1"
"Async Serial",1.06011994,0.00030436,"0"
"Async Serial",1.06044028,0.00030436,"7"
"Async Serial",1.06076062,0.00030436,"d"
"Async Serial",1.06108098,0.00030436,"f"
"Async Serial",1.06140132,0.00030436,"c"
"Async Serial",1.06172166,0.00030436,"b"
"Async Serial",1.062042,0.00030436,"a"
"Async Serial",1.06236236,0.00030436,"6"
"Async Serial",1.0626827,0.00030436,"5"
"Async Serial",1.06300304,0.00030436,"1"
"Async Serial",1.06332338,0.00030436,"c"
"Async Serial",1.06364372,0.00030436,"a"
"Async Serial",1.06396408,0.00030436,"b"
"Async Serial",1.06428442,0.00030436,"2"
"Async Serial",1.06460476,0.00030436,"d"
"Async Serial",1.0649251,0.00030436,"1"
"Async Serial",1.06524546,0.00030436,"a"
"Async Serial",1.0655658,0.00030436,"f"
"Async Serial",1.06588614,0.00030436,"b"
"Async Serial",1.06620648,0.00030436,"6"
"Async Serial",1.06652682,0.00030436,"d"
